"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Kazakhstan","KAZ","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","99","116","139","170","197","199","219.269317509396","","","",
"Kenya","KEN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","18","18.7","20","21","23","23.8526790203621","","","",
"Korea, Rep.","KOR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303","311","320","329","339","346","355","363.111839708561","","","",
"Kuwait","KWT","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","397","415","448","467","475","485","495","527.569378368068","","","",
"Latin America & Caribbean (all income levels)","LCN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151.307936710745","157.359988297474","168.565565589479","179.908587552518","186.303618582462","","","","","",
"Lower middle income","LMC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.8162535651986","23.283872300375","27.1898823556081","","30.7058947034841","26.5820314777107","","","","",
"Low & middle income","LMY","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1977964985384","45.854074028148","50.093135409526","71.4733854556887","57.8747731290013","55.0244665436244","","","","",
"Lithuania","LTU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401","421","467","514","518","546","555","559.518622863436","","","",
"Luxembourg","LUX","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","718","719","727","734","741","747","739","738.75881985115","","","",
"Latvia","LVA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","329","348","377","417","459","474","459","318.719718732582","","","",
"Macao SAR, China","MAC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","141","147","151","159","161","161","165.148549818267","","","",
"Moldova","MDA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","95","105","114","124","139","146","156.34988947413","","","",
"Maldives","MDV","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","13","15","18","20","23","24","27.7632682780126","","","",
"Mexico","MEX","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203","200","208","231","246","265","276.380381960645","274.917204437296","","","",
"Malta","MLT","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633","636","634","548","664","674","679.276383168944","692.989098426664","","","",
"Mauritius","MUS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122","130","137","143","150","159","166","175.487382545725","","","",
"Malaysia","MYS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","271","289","304","318","334","350","361.015487579195","","","",
"North America","NAC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","774.934112909857","810","816","795.164186515122","798.025902771283","794.263580625621","782.684938386972","797","","","",
"Netherlands","NLD","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","494","491","504","514","522","523.326849065778","526.667559011842","","","",
"High income: nonOECD","NOC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228.488324243468","233.37765009979","249.534583431409","257.414366488135","280.756952503828","285.124590394969","","","","",
"Norway","NOR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","525","535","546","558","572","575","578","584.12554722072","","","",
"New Zealand","NZL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","681","697","714","724","729","733","718","711.551353083932","","","",
"High income: OECD","OEC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","604.522258606604","606.432143461876","616.222356048342","620.259446397197","626.409100963912","628.984951291124","627.08712756366","629.205687400793","","","",
"OECD members","OED","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530.509077478566","534.557722262361","545.706480273884","553.953084372989","560.044776344799","563.770253863991","563.125136279828","563.056865770559","","","",
"Panama","PAN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","108","111","117","135","126.171936750883","131.998225669781","","","",
"Peru","PER","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","57","58","61","65","68","73.4075325128406","","","",
"Philippines","PHL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","34","33","32","32","29.3519455345178","30.3965123695382","","","",
"Poland","POL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","357","378","386","416","451","495","508","537.182308998323","","","",
"Puerto Rico","PRI","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","578","575","623","642","622","596","635.388495042152","","","",
"Romania","ROU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","185","180","172","194","219","230","234.52732369963","","","",
"Russian Federation","RUS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","213","223","244","264","271","","","","",
"South Asia","SAS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.999737134868","12.0425752737316","12.8604371119775","14.055566658252","","16.0223218849103","17.3962306822512","","","","",
"Singapore","SGP","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133","142","144","149","154","155","147.85648408052","148.666259578072","","","",
"Serbia","SRB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234","239","246","226","229","255.869493225963","238.198072368735","","","",
"Suriname","SUR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227","216","","217.64739668022","78.526118525256","","280.551814368723","290.504273439108","","","",
"Slovak Republic","SVK","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288","256","280","288","311","337","348","363.699814681095","","","",
"Slovenia","SVN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","492","505","518","529","547","565","566","566.514024572107","","","",
"Sweden","SWE","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","508","513","517","523","521","519","519.736778968421","","","",
"Tunisia","TUN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","97","","116","114","118.377474239156","124.550719966632","","","",
"Turkey","TUR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","111","118","126","132","138","142","154.850735010874","","","",
"Ukraine","UKR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139","135","139","143","151","164","167","172.757490075364","","","",
"Upper middle income","UMC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.5596409203802","63.1433868503359","72.426675188917","76.8116665332256","87.6702581953047","89.6144867652367","89.1600747852723","98.3915726355176","","","",
"Uruguay","URY","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","194","194","194","200","","","","",
"United States","USA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","796","810","816","818","820","815","802","797","","","",
